name,dni,phone,address_id,is_subscribed
Cliente 1,13356886,0294-5506-5012,4,1
Cliente 3,41227216,0264-1434-4257,5,0
Cliente 4,70291817,0275-5557-1106,6,1
Cliente 5,55667651,0235-3547-4527,7,0
Cliente 6,22448136,0248-2584-6881,8,0
Cliente 7,15831819,0293-8527-9785,9,0
Cliente 8,84093639,0237-6925-4150,10,1
Cliente 9,98753260,0229-5741-2307,11,1
Cliente 11,38119557,0285-5374-2169,12,1
Cliente 14,38317637,0272-6155-4483,13,0
Cliente 15,96282117,0258-3340-5339,14,1
Cliente 16,88461803,0254-7543-6930,15,1
Cliente 19,43744231,0270-1188-2876,16,0
Cliente 20,24972279,0237-8123-3591,17,1
Cliente 21,77187530,0297-3927-9317,18,0
Cliente 22,91734598,0225-3504-7126,19,1
Cliente 23,10076758,0276-6310-9005,20,1
Cliente 27,63551839,0285-7118-8177,21,0
Cliente 29,10965138,0209-1964-4750,22,1
Cliente 30,19510312,0265-4899-5562,23,0
Cliente 31,82374753,0216-8744-4981,24,0
Cliente 34,24665841,0231-4139-4116,25,0
Cliente 35,66623995,0223-5563-8579,26,1
Cliente 36,83863413,0212-1828-9856,27,1
Cliente 37,41726318,0221-7658-8956,28,1
Cliente 38,17869910,0221-7209-1035,29,0
Cliente 39,48285503,0254-8973-3536,30,0
Cliente 40,17849494,0274-9883-1998,31,0
Cliente 41,16729990,0274-8811-9238,32,1
Cliente 44,98231132,0274-9565-6183,33,1
Cliente 46,52436584,0296-2188-1152,34,1
Cliente 47,82160068,0227-9288-5345,35,0
Cliente 49,11049999,0285-5905-2697,36,1
Cliente 50,25492573,0213-3546-5462,37,1
Cliente 53,27558317,0281-5291-3647,38,0
Cliente 56,58942697,0205-6862-4441,39,1
Cliente 57,57469942,0299-7658-3532,40,1
Cliente 58,65337219,0203-3938-6442,41,0
Cliente 59,45810056,0220-2771-7267,42,1
Cliente 60,39854548,0225-8541-6728,43,1
Cliente 62,47463522,0244-9346-7548,44,0
Cliente 65,87388337,0224-5173-1727,45,0
Cliente 66,79782527,0268-4228-6967,46,1
Cliente 67,93638503,0240-3041-5920,47,0
